AL|4100.0|55.0|||16.0
GR|101700.0|11.8|22.2|66.0|8.1
MK|1900.0|24.0|44.0|32.0|14.8
SRB|52180.0|12.3|24.2|63.5|6.8
MNE|4515.0||||3.4
KOS|3237.0|20.0|20.0|60.0|5.3
AND|1000.0||||
F|1173000.0|2.4|26.5|71.1|1.7
E|565000.0|3.6|33.6|62.8|4.3
A|152000.0|2.0|34.0|64.0|2.3
CZ|106200.0|5.8|40.7|53.5|9.1
D|1452200.0|1.0|34.2|64.8|
H|72500.0|7.3|37.5|55.2|28.3
I|1088600.0|2.9|31.6|65.5|5.4
FL|630.0||||5.4
SK|39000.0|6.7|47.6|45.7|7.5
SLO|22600.0|5.3|39.9|54.8|8.0
CH|158500.0|3.0|33.5|63.5|1.8
BY|49200.0|21.0|49.0|30.0|244.0
LV|14700.0|9.0|31.0|60.0|20.0
LT|13300.0|20.0|42.0|38.0|35.0
PL|226700.0|7.0|38.0|55.0|21.6
UA|174600.0|31.0|43.0|26.0|9.0
R|796000.0|6.0|41.0|53.0|7.0
B|197000.0|2.0|28.0|70.0|1.6
L|10000.0|1.4|33.7|64.9|3.6
NL|301900.0|3.4|26.9|69.7|2.25
BIH|1000.0||||
HR|20100.0|12.7|30.6|56.7|3.7
BG|43200.0|12.0|36.0|52.0|35.0
RO|105700.0|19.6|36.3|44.1|25.0
TR|345700.0|15.5|33.2|51.3|94.0
DK|112800.0|3.0|23.5|73.5|2.4
EW|12300.0|10.0|37.0|53.0|29.0
FARX|733.0||||6.8
SF|92400.0|4.6|28.0|67.4|2.0
N|106200.0|2.9|34.7|62.4|2.5
S|177300.0|2.0|27.0|71.0|2.6
MC|788.0||||
GBZ|205.0||||
GBG|||||7.0
V|||||
IS|5000.0|9.6|22.1|68.3|2.5
IRL|54600.0|6.8|35.3|57.9|2.8
RSM|380.0||||5.5
GBJ|||||
M|4400.0||||5.0
GBM|780.0||||7.0
MD|10400.0|33.0|36.0|31.0|24.0
P|116200.0|6.0|35.8|58.2|4.6
SVAX|||||
GB|1138400.0|1.7|27.7|70.6|3.1
AFG|12800.0|65.0|15.0|20.0|
TJ|3500000.0|19.0|48.0|33.0|10.1
IR|323500.0|21.0|37.0|42.0|60.0
PK|274200.0|24.0|27.0|49.0|13.0
TAD|6400.0||||28.0
TM|11500.0|32.5|33.4|34.1|25.0
UZB|54700.0||||7.7
ARM|9100.0|57.0|36.0|7.0|32.2
GE|6200.0|70.4|10.2|19.4|2.2
AZ|11500.0||||85.0
BRN|7300.0||||3.0
BD|144500.0||||4.5
MYA|47000.0|60.0|10.0|30.0|38.0
IND|1408700.0||||9.0
BHT|1300.0||||8.6
BRU|4600.0|3.0|42.0|55.0|2.4
MAL|193600.0|8.0|25.0|67.0|5.3
LAO|5200.0|50.0|17.0|33.0|20.0
THA|416700.0|10.2|30.6|59.2|5.8
K|7000.0|52.0|13.5|34.5|6.0
VN|97000.0|28.0|28.0|44.0|14.0
KAZ|46900.0|28.5|41.5|30.0|60.3
NOK|21500.0|25.0|60.0|15.0|
KGZ|5400.0||||32.0
HONX|307600.0|0.0|7.9|92.0|2.1
MACX|220400.0|0.1|2.8|97.1|6.2
MNG|4900.0|28.0|35.0|37.0|53.0
NEP|25200.0|49.3|18.4|32.3|6.7
XMAS|||||
COCO|||||
CY|7800.0|5.6|24.9|69.5|
GAZA|1700.0||||5.7
IL|80100.0|3.5|22.0|74.5|10.1
ET|171000.0||||9.4
RI|710900.0|17.0|32.6|50.4|8.6
TL|489.0|32.2|12.8|55.0|7.8
PNG|10200.0||||15.0
IRQ|41100.0||||
JOR|19300.0|11.0|25.0|64.0|3.0
KWT|30800.0|0.0|55.0|45.0|5.0
SA|189300.0|9.0|50.0|41.0|5.0
