Svalbard|SVAX|Svalbard
Greenland|GROX|Greenland
Iceland|IS|Iceland
Aust-Vagoey|N|Nordland
Streymoy|FARX|Faroe Islands
Ireland|IRL|Ireland
Ireland|GB|Northern Ireland
Great Britain|GB|Avon
Great Britain|GB|Bedfordshire
Great Britain|GB|Berkshire
Great Britain|GB|Buckinghamshire
Great Britain|GB|Cambridgeshire
Great Britain|GB|Cheshire
Great Britain|GB|Cleveland
Great Britain|GB|Cornwall
Great Britain|GB|Cumbria
Great Britain|GB|Derbyshire
Great Britain|GB|Devon
Great Britain|GB|Dorset
Great Britain|GB|Durham
Great Britain|GB|East Sussex
Great Britain|GB|Essex
Great Britain|GB|Gloucestershire
Great Britain|GB|Greater London
Great Britain|GB|Greater Manchester
Great Britain|GB|Hampshire
Great Britain|GB|Hereford and Worcester
Great Britain|GB|Hertfordshire
Great Britain|GB|Humberside
Great Britain|GB|Kent
Great Britain|GB|Lancashire
Great Britain|GB|Leicestershire
Great Britain|GB|Lincolnshire
Great Britain|GB|Merseyside
Great Britain|GB|Norfolk
Great Britain|GB|Northamptonshire
Great Britain|GB|Northumberland
Great Britain|GB|North Yorkshire
Great Britain|GB|Nottinghamshire
Great Britain|GB|Oxfordshire
Great Britain|GB|Shropshire
Great Britain|GB|Somerset
Great Britain|GB|South Yorkshire
Great Britain|GB|Staffordshire
Great Britain|GB|Suffolk
Great Britain|GB|Surrey
Great Britain|GB|Tyne and Wear
Great Britain|GB|Warwickshire
Great Britain|GB|West Midlands
Great Britain|GB|West Sussex
Great Britain|GB|West Yorkshire
Great Britain|GB|Wiltshire
Great Britain|GB|Borders
Great Britain|GB|Central
Great Britain|GB|Dumfries and Galloway
Great Britain|GB|Fife
Great Britain|GB|Grampian
Great Britain|GB|Highland
Great Britain|GB|Lothian
Great Britain|GB|Strathclyde
Great Britain|GB|Tayside
Great Britain|GB|Aberconwy and Colwyn
Great Britain|GB|Blaenau Gwent
Great Britain|GB|Bridgend
Great Britain|GB|Caerphilly
Great Britain|GB|Cardiff
Great Britain|GB|Carmarthenshire
Great Britain|GB|Ceredigion
Great Britain|GB|Denbighshire
Great Britain|GB|Flintshire
Great Britain|GB|Gwynedd
Great Britain|GB|Merthyr Tydfil
Great Britain|GB|Monmouthshire
Great Britain|GB|Neath and Port Talbot
Great Britain|GB|Newport
Great Britain|GB|Pembrokeshire
Great Britain|GB|Powys
Great Britain|GB|Rhondda Cynon Taff
Great Britain|GB|Swansea
Great Britain|GB|Torfaen
Great Britain|GB|Vale of Glamorgan
Great Britain|GB|Wrexham
Shetland Mainland|GB|Shetland
Orkney Mainland|GB|Orkneys
South Ronaldsay|GB|Orkneys
Hoy|GB|Orkneys
Westray|GB|Orkneys
Barra|GB|Outer Hebrides
South Uist|GB|Outer Hebrides
Benbecula|GB|Outer Hebrides
North Uist|GB|Outer Hebrides
Lewis and Harris|GB|Outer Hebrides
Skye|GB|Highland
Rhum|GB|Highland
Mull|GB|Highland
Islay|GB|Strathclyde
Jura|GB|Strathclyde
Arran|GB|Strathclyde
Isle of Man|GBM|Man
Anglesey|GB|Anglesey
Isle of Wight|GB|Isle of Wight
Lundy|GB|Devon
Bishop Rock|GB|Cornwall
Guernsey|GBG|Guernsey
Jersey|GBJ|Jersey
Gotland|S|Gotland
Oeland|S|Kalmar
Aland|SF|Aland
Dagoe|EW|Estonia
Oesel|EW|Estonia
Seeland|DK|Denmark
Fuenen|DK|Denmark
Langeland|DK|Denmark
Falster|DK|Denmark
Lolland|DK|Denmark
Bornholm|DK|Denmark
Helgoland|D|Schleswig Holstein
Fehmarn|D|Schleswig Holstein
Rugen|D|Mecklenburg Vorpommern
Usedom|D|Mecklenburg Vorpommern
Usedom|PL|Szczecinskie
Sylt|D|Schleswig Holstein
Fohr|D|Schleswig Holstein
Amrum|D|Schleswig Holstein
Pellworm|D|Schleswig Holstein
Wangerooge|D|Niedersachsen
Spiekeroog|D|Niedersachsen
Langeoog|D|Niedersachsen
Baltrum|D|Niedersachsen
Norderney|D|Niedersachsen
Juist|D|Niedersachsen
Borkum|D|Niedersachsen
Schiermonnikoog|NL|Friesland
Ameland|NL|Friesland
Terschelling|NL|Friesland
Vlieland|NL|Friesland
Texel|NL|Noord Holland
Korfu|GR|Ionioi Nisoi
Lefkas|GR|Ionioi Nisoi
Kefallinia|GR|Ionioi Nisoi
Zakinthos|GR|Ionioi Nisoi
Kreta|GR|Kriti
Chios|GR|Voreion Aiyaion
Samos|GR|Voreion Aiyaion
Ikaria|GR|Voreion Aiyaion
Lesbos|GR|Voreion Aiyaion
Kos|GR|Notion Aiyaion
Rhodos|GR|Notion Aiyaion
Cyprus|CY|Cyprus
Alicudi|I|Calabria
Filicudi|I|Calabria
Salina|I|Calabria
Lipari|I|Calabria
Vulcano|I|Calabria
Panarea|I|Calabria
Stromboli|I|Calabria
Lampedusa|I|Sicilia
Linosa|I|Sicilia
Sicilia|I|Sicilia
Malta|M|Malta
Gozo|M|Malta
Sardegna|I|Sardegna
Corse|F|Corse
Menorca|E|Balearic Islands
Mallorca|E|Balearic Islands
Ibiza|E|Balearic Islands
Formentera|E|Balearic Islands
Lanzarote|E|Canary Islands
